.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1693 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1693_2	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1694 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1694_1	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1694 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1694_2	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1697 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1697_1	1	1	1	1	0.5	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1697 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1697_2	1	1	0.25	1	0.5	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1702 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1702_1	1	1	1	1	0.5	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1702 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1702_2	1	1	0.25	1	0.5	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG16 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG16_1	1	1	1	1	0.25	0.25	1	1	0.25	1	1
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG16 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG16_2	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG25 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG25_1	1	1	1	1	0.25	0.5	1	1	0.25	1	1
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG25 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG25_2	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG30 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG30_1	1	1	1	1	0.25	0.25	1	1	0.25	1	1
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG30 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG30_2	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG36 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG36_1	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG36 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG36_2	1	1	0.25	1	0.5	1	1	1	1	1	1
